Chromosome/scaffold name,Start (bp),End (bp),Feature type
11,47987800,47988201,Promoter
22,36452400,36456601,Promoter
8,66961800,66963001,Promoter
20,64254800,64257801,Promoter
5,69414600,69416801,Promoter
4,165211000,165211201,Promoter
17,32323800,32324601,Promoter
12,100794600,100796001,Promoter
2,162315400,162320201,Promoter
19,18542000,18544801,Promoter
21,44206600,44207401,Promoter
4,40243200,40243601,Promoter
3,183427001,183429600,Promoter
6,152166601,152168601,Promoter
6,139280200,139280401,Promoter
12,68969600,68970401,Promoter
X,101614600,101615001,Promoter
1,231028200,231029001,Promoter
19,36770601,36776600,Promoter
3,14177200,14180201,Promoter
17,35067200,35067601,Promoter
16,31471200,31473201,Promoter
19,2774200,2776601,Promoter
20,31546400,31549001,Promoter
9,120532200,120532601,Promoter
5,153490200,153494001,Promoter
17,50053400,50053801,Promoter
15,70558600,70559801,Promoter
12,120533600,120539601,Promoter
17,2048800,2051601,Promoter
3,146503200,146504201,Promoter
1,110030600,110031401,Promoter
12,92030000,92030201,Promoter
15,90158000,90158601,Promoter
2,25250200,25253601,Promoter
22,46367400,46367801,Promoter
4,163330801,163333401,Promoter
20,1625800,1626201,Promoter
3,30893801,30895401,Promoter
10,6066200,6066401,Promoter
22,26647800,26648401,Promoter
19,12695400,12698001,Promoter
13,36129000,36132001,Promoter
1,228151800,228155201,Promoter
2,231125200,231125601,Promoter
11,2466800,2467801,Promoter
2,219596400,219599001,Promoter
22,41957401,41958201,Promoter
10,22338801,22342001,Promoter
10,70380800,70383401,Promoter
17,8041000,8041601,Promoter
14,22561200,22562601,Promoter
17,30290400,30293000,Promoter
6,121434600,121442601,Promoter
3,51964600,51964801,Promoter
14,90677600,90677801,Promoter
19,7868200,7871001,Promoter
1,164575800,164577601,Promoter
19,2614000,2614201,Promoter
20,4069200,4069601,Promoter
1,117058200,117061601,Promoter
1,157992600,157997001,Promoter
22,20430800,20431601,Promoter
3,160100600,160101200,Promoter
9,33851200,33852001,Promoter
7,74452800,74456201,Promoter
16,57646600,57647001,Promoter
1,22052000,22056001,Promoter
9,35793600,35794201,Promoter
1,179292800,179298001,Promoter
17,27985200,27985401,Promoter
8,119640600,119641201,Promoter
1,21619000,21619201,Promoter
6,163411800,163424401,Promoter
12,46825600,46826400,Promoter
11,2136000,2142401,Promoter
20,4011800,4016601,Promoter
5,87266601,87270801,Promoter
16,58394400,58394600,Promoter
19,50969600,50969801,Promoter
1,27624600,27626801,Promoter
1,108690601,108696001,Promoter
22,21166000,21168400,Promoter
16,17258800,17259201,Promoter
6,155312800,155316201,Promoter
8,37882000,37882201,Promoter
3,71576200,71576401,Promoter
2,32069000,32069201,Promoter
16,3127201,3127401,Promoter
14,100082200,100083001,Promoter
17,46978400,46980001,Promoter
3,53248400,53248601,Promoter
7,22820600,22824001,Promoter
8,65785200,65785401,Promoter
22,50272600,50272801,Promoter
4,131974801,131977001,Promoter
19,14583800,14584401,Promoter
3,99871200,99877201,Promoter
10,133388200,133390201,Promoter
5,42908600,42909600,Promoter
9,117642801,117643601,Promoter
22,29908200,29908401,Promoter
3,129310400,129317801,Promoter
14,51395600,51396001,Promoter
7,50321400,50322001,Promoter
6,158800200,158800401,Promoter
17,39606400,39607201,Promoter
19,10193200,10195801,Promoter
6,28442400,28444201,Promoter
1,26159000,26163801,Promoter
2,216411600,216413801,Promoter
22,39412600,39413201,Promoter
6,52364600,52364801,Promoter
15,65826200,65826401,Promoter
7,6350200,6350401,Promoter
11,65047000,65048401,Promoter
X,63559200,63562401,Promoter
12,116236400,116236601,Promoter
1,18948200,18957801,Promoter
10,75209200,75212801,Promoter
9,134374400,134377001,Promoter
11,68091000,68091201,Promoter
7,17680600,17681001,Promoter
11,69303400,69303601,Promoter
5,83718200,83723001,Promoter
12,69342800,69343001,Promoter
2,54114600,54117000,Promoter
8,37890800,37891401,Promoter
15,90869200,90869401,Promoter
6,31711400,31711601,Promoter
3,120595400,120598001,Promoter
1,21438800,21442400,Promoter
3,15426200,15429801,Promoter
2,182030401,182031600,Promoter
17,79776400,79780001,Promoter
10,44966200,44966401,Promoter
17,77181800,77182201,Promoter
2,30230000,30236601,Promoter
1,65146800,65150601,Promoter
8,127851800,127853201,Promoter
10,48522600,48524801,Promoter
1,224356400,224359001,Promoter
16,8957400,8958801,Promoter
21,44352800,44355401,Promoter
17,6711200,6711801,Promoter
3,146248000,146248201,Promoter
11,66337600,66337801,Promoter
11,71708400,71708801,Promoter
9,37083600,37084001,Promoter
19,18017400,18017601,Promoter
7,157136200,157137001,Promoter
6,157019200,157023001,Promoter
12,112008400,112008601,Promoter
4,2534601,2538601,Promoter
9,68709400,68710001,Promoter
10,3835800,3836001,Promoter
5,168316400,168316601,Promoter
17,74893400,74893801,Promoter
1,150164400,150165201,Promoter
2,64330600,64331001,Promoter
X,153647000,153647801,Promoter
3,94937801,94938200,Promoter
19,50567000,50569001,Promoter
11,18261801,18262201,Promoter
17,74442600,74443801,Promoter
15,75620400,75621201,Promoter
1,209827000,209829801,Promoter
16,88958400,88959001,Promoter
21,45747600,45748001,Promoter
11,12123000,12123201,Promoter
1,226124800,226125201,Promoter
1,186678001,186683001,Promoter
3,23915400,23920201,Promoter
19,35774600,35776601,Promoter
6,111566600,111567401,Promoter
9,131678600,131679001,Promoter
9,132877200,132879601,Promoter
5,140602200,140602601,Promoter
4,15961400,15962601,Promoter
19,7674200,7674401,Promoter
10,73872200,73875801,Promoter
1,93612000,93612401,Promoter
10,22001600,22004601,Promoter
10,43201800,43204201,Promoter
8,63036401,63037201,Promoter
20,58228001,58229601,Promoter
8,123071601,123075201,Promoter
18,21702200,21702401,Promoter
14,22477800,22478401,Promoter
6,139133400,139140801,Promoter
3,197516800,197518801,Promoter
4,51841800,51846001,Promoter
12,50056400,50060201,Promoter
8,133568000,133574401,Promoter
1,161623200,161623601,Promoter
2,197208200,197208401,Promoter
16,56194200,56195601,Promoter
2,27488800,27490401,Promoter
6,2969000,2969201,Promoter
14,70415400,70417800,Promoter
9,17578401,17580200,Promoter
7,44063600,44065601,Promoter
5,17304400,17304601,Promoter
15,74791600,74792001,Promoter
7,44257800,44258201,Promoter
6,30671600,30673801,Promoter
2,156471000,156471601,Promoter
3,128680000,128682201,Promoter
1,75723400,75727601,Promoter
12,57834400,57834801,Promoter
15,45646600,45647401,Promoter
5,56949800,56953201,Promoter
7,12210001,12213201,Promoter
14,103126600,103127601,Promoter
7,106731600,106731801,Promoter
19,38733000,38733201,Promoter
3,139387400,139391201,Promoter
14,105317400,105317601,Promoter
5,141121800,141122400,Promoter
19,1649000,1654001,Promoter
20,25868000,25869001,Promoter
15,40102800,40104001,Promoter
19,17749800,17750001,Promoter
15,23685800,23687800,Promoter
9,133112800,133113001,Promoter
9,21801400,21805001,Promoter
4,90838401,90839200,Promoter
8,66126600,66130601,Promoter
12,3490400,3493601,Promoter
10,72323800,72324401,Promoter
10,45418400,45422601,Promoter
11,61695000,61696601,Promoter
19,47330600,47333001,Promoter
15,33067200,33069201,Promoter
19,18392200,18398201,Promoter
19,51644400,51647201,Promoter
1,156103600,156108601,Promoter
1,9942000,9944801,Promoter
12,98418600,98418801,Promoter
17,74622200,74623601,Promoter
17,80453800,80456201,Promoter
1,114668600,114671201,Promoter
11,86799200,86804001,Promoter
12,69248600,69249201,Promoter
11,69048000,69052001,Promoter
1,39210800,39211601,Promoter
15,52789400,52791401,Promoter
1,1690600,1695401,Promoter
1,209674400,209677201,Promoter
19,18289400,18289801,Promoter
7,96320400,96322801,Promoter
10,122373600,122377601,Promoter
21,39451400,39453601,Promoter
1,93078200,93082801,Promoter
11,66408400,66410001,Promoter
1,6391800,6394601,Promoter
1,234716000,234716401,Promoter
3,10707600,10708400,Promoter
12,9721800,9722001,Promoter
7,97870001,97873401,Promoter
17,1111400,1112401,Promoter
19,44717400,44717601,Promoter
13,50714000,50714201,Promoter
14,51864600,51864801,Promoter
4,7041600,7045801,Promoter
12,48677800,48683201,Promoter
9,35341600,35342601,Promoter
3,48478800,48479601,Promoter
11,75346200,75346401,Promoter
15,52527200,52530201,Promoter
6,30466200,30467001,Promoter
12,6195800,6196001,Promoter
17,2088800,2090801,Promoter
17,28575800,28577401,Promoter
10,14877000,14881001,Promoter
16,30584000,30587001,Promoter
18,31099600,31103001,Promoter
20,60062800,60063201,Promoter
3,88057000,88062601,Promoter
1,161469000,161472001,Promoter
22,30244600,30244801,Promoter
6,35455200,35455400,Promoter
17,78277800,78278601,Promoter
6,34243200,34243401,Promoter
22,39501200,39504001,Promoter
8,11768800,11771201,Promoter
10,132394000,132399001,Promoter
7,142499201,142499601,Promoter
12,57967001,57967200,Promoter
2,37829200,37829401,Promoter
15,43823400,43829001,Promoter
14,102438200,102438601,Promoter
3,43298400,43298601,Promoter
1,156570800,156573001,Promoter
11,95149800,95153801,Promoter
9,113623000,113623401,Promoter
3,58490200,58495001,Promoter
9,129883600,129892201,Promoter
17,60743401,60744801,Promoter
12,68359000,68359201,Promoter
X,136646400,136657801,Promoter
14,63203600,63207201,Promoter
7,29144800,29148001,Promoter
17,12984600,12984801,Promoter
19,39679000,39680400,Promoter
16,83968000,83969201,Promoter
1,28170600,28171001,Promoter
9,93115800,93116201,Promoter
12,53179200,53183001,Promoter
20,58513801,58517400,Promoter
5,87300600,87301601,Promoter
11,86374200,86375400,Promoter
X,23882000,23884401,Promoter
2,95206000,95209000,Promoter
3,129489400,129489601,Promoter
14,91249800,91250001,Promoter
19,17379200,17379401,Promoter
17,3888200,3889001,Promoter
9,136243200,136243401,Promoter
5,14182800,14183201,Promoter
20,38471600,38474801,Promoter
5,122475200,122478801,Promoter
10,133200,137201,Promoter
3,142723201,142726001,Promoter
12,104600400,104600601,Promoter
10,87340000,87345201,Promoter
3,126530400,126531001,Promoter
12,79886200,79886401,Promoter
15,76902601,76906401,Promoter
5,10356800,10357001,Promoter
5,34654800,34659201,Promoter
4,158164000,158174401,Promoter
19,14531200,14531401,Promoter
5,96432600,96433001,Promoter
15,24954200,24959801,Promoter
19,1093600,1096001,Promoter
5,140874600,140876400,Promoter
5,132368200,132372201,Promoter
11,129815401,129819600,Promoter
8,143544800,143545001,Promoter
16,31141200,31143401,Promoter
1,3672600,3672801,Promoter
21,41170800,41171201,Promoter
12,118246001,118246600,Promoter
2,36361800,36362401,Promoter
14,103924200,103924401,Promoter
9,94824800,94825001,Promoter
14,81246400,81246801,Promoter
1,241355801,241358001,Promoter
19,1285001,1288401,Promoter
19,33684400,33684801,Promoter
1,26016800,26017201,Promoter
15,55497400,55499201,Promoter
12,15546000,15549001,Promoter
6,108622400,108623201,Promoter
5,140801000,140801600,Promoter
4,99562400,99565001,Promoter
8,69492200,69495000,Promoter
11,130915200,130917401,Promoter
10,73907800,73908201,Promoter
1,84163800,84165001,Promoter
17,44774600,44776601,Promoter
6,81747000,81747201,Promoter
1,1509600,1509801,Promoter
2,26344200,26348201,Promoter
9,129750000,129750601,Promoter
2,241324600,241325401,Promoter
5,690600,694800,Promoter
10,44878600,44879601,Promoter
1,94233800,94239601,Promoter
4,680200,682201,Promoter
10,128069600,128070001,Promoter
9,121289400,121289801,Promoter
10,70815200,70817801,Promoter
3,197912600,197912801,Promoter
16,81180800,81181601,Promoter
15,40306000,40309601,Promoter
4,13482200,13485601,Promoter
7,105266400,105270401,Promoter
14,98973001,98973600,Promoter
17,19161200,19161401,Promoter
X,102720001,102721601,Promoter
13,30738400,30738601,Promoter
5,65924400,65931001,Promoter
1,145954800,145955001,Promoter
12,130632800,130634001,Promoter
8,141420000,141421001,Promoter
21,37207600,37208601,Promoter
3,51670200,51673001,Promoter
19,1444600,1447201,Promoter
11,64880800,64881001,Promoter
2,219448400,219449201,Promoter
14,91412800,91419401,Promoter
3,49672600,49675601,Promoter
6,138690800,138694201,Promoter
19,50689001,50690800,Promoter
6,87588000,87592001,Promoter
16,21611000,21611201,Promoter
1,153573400,153573801,Promoter
2,113198201,113199801,Promoter
9,86349400,86355601,Promoter
14,76913600,76913801,Promoter
14,34872000,34876601,Promoter
12,104493200,104493601,Promoter
13,27959800,27971601,Promoter
X,48520800,48524001,Promoter
11,29519200,29519601,Promoter
17,75455600,75458201,Promoter
16,30112200,30112801,Promoter
19,42277400,42286601,Promoter
5,149424000,149428401,Promoter
19,2014000,2017001,Promoter
10,73784000,73787401,Promoter
11,324000,324201,Promoter
6,338200,338401,Promoter
8,6877001,6878201,Promoter
5,51377600,51378001,Promoter
9,91117600,91119401,Promoter
15,65516000,65518401,Promoter
16,30892800,30897601,Promoter
2,239259400,239260001,Promoter
11,15969400,15970001,Promoter
16,89360600,89361401,Promoter
1,51329600,51331401,Promoter
2,136120800,136121001,Promoter
16,21541600,21542601,Promoter
7,150971800,150972001,Promoter
16,58463200,58466200,Promoter
9,134380600,134381001,Promoter
10,84138201,84141401,Promoter
19,17311800,17312001,Promoter
1,3529800,3532201,Promoter
15,67164800,67165201,Promoter
12,56187200,56191400,Promoter
5,6827800,6828601,Promoter
5,135575001,135579401,Promoter
20,64037800,64039801,Promoter
3,8733600,8736200,Promoter
10,101828401,101831601,Promoter
3,38460400,38460601,Promoter
14,74616200,74616601,Promoter
16,72051600,72052201,Promoter
1,21668200,21670201,Promoter
6,28397600,28398001,Promoter
10,84424600,84426800,Promoter
9,35908000,35908201,Promoter
9,33444000,33444201,Promoter
7,108454400,108457401,Promoter
9,127574000,127574601,Promoter
3,171768000,171772001,Promoter
17,19045000,19047401,Promoter
19,9362601,9363800,Promoter
16,31071200,31076001,Promoter
19,17579800,17580201,Promoter
2,232440400,232440601,Promoter
22,46041400,46041601,Promoter
1,247209000,247212201,Promoter
11,116771000,116774201,Promoter
5,14169000,14169401,Promoter
5,154493201,154493600,Promoter
1,179591800,179592201,Promoter
1,155909800,155912201,Promoter
12,55848600,55849201,Promoter
8,11492400,11496801,Promoter
5,151141600,151142001,Promoter
11,121590600,121590801,Promoter
1,161398200,161401201,Promoter
15,92711401,92712000,Promoter
1,28111000,28111401,Promoter
1,965800,967601,Promoter
13,71014801,71015200,Promoter
17,55750600,55752601,Promoter
20,31738200,31741801,Promoter
11,67275800,67279201,Promoter
14,91347400,91348001,Promoter
20,3779400,3780601,Promoter
11,66920800,66921201,Promoter
11,128908400,128909001,Promoter
13,27792600,27792801,Promoter
1,58811200,58812201,Promoter
5,173718000,173718201,Promoter
1,21278800,21280601,Promoter
1,150090600,150091001,Promoter
17,10126400,10126601,Promoter
16,22205400,22208401,Promoter
1,40981800,40982601,Promoter
X,155766200,155769201,Promoter
8,124972400,124975000,Promoter
11,73596400,73599600,Promoter
17,42979201,42982201,Promoter
8,30390600,30390801,Promoter
7,93591000,93593801,Promoter
14,71319401,71325201,Promoter
6,31805600,31807801,Promoter
9,68546400,68547801,Promoter
14,92108400,92109001,Promoter
3,160227200,160227601,Promoter
3,57163400,57165801,Promoter
20,37902200,37905001,Promoter
X,48786400,48789001,Promoter
11,84887000,84887601,Promoter
10,69316200,69316601,Promoter
1,149809800,149815000,Promoter
7,55689200,55689601,Promoter
5,141317801,141322200,Promoter
2,11744000,11750401,Promoter
20,50146600,50147601,Promoter
12,6646600,6647801,Promoter
5,149939000,149939201,Promoter
18,76467000,76468401,Promoter
3,52495000,52497801,Promoter
5,112163200,112163401,Promoter
17,81326600,81327601,Promoter
5,40909600,40913600,Promoter
4,153747600,153747801,Promoter
2,136128800,136137601,Promoter
19,43820200,43821200,Promoter
16,71845000,71847601,Promoter
19,27643800,27646600,Promoter
12,132488000,132492601,Promoter
12,57005000,57007401,Promoter
6,33424600,33430001,Promoter
1,156745800,156753201,Promoter
2,127700200,127703601,Promoter
12,100163600,100164601,Promoter
11,1306600,1311201,Promoter
14,23320000,23323601,Promoter
2,38374400,38378601,Promoter
10,75430200,75432601,Promoter
2,30348201,30348600,Promoter
10,110076200,110076401,Promoter
4,36282000,36282601,Promoter
17,58412401,58418001,Promoter
11,63872600,63873001,Promoter
2,209771201,209773001,Promoter
4,6563000,6564401,Promoter
18,8800400,8800601,Promoter
17,37356400,37360401,Promoter
4,139174400,139179401,Promoter
2,102106200,102106601,Promoter
21,31658600,31658801,Promoter
4,183443000,183447001,Promoter
3,186929600,186933601,Promoter
4,15340000,15341001,Promoter
8,123182400,123185001,Promoter
1,156859000,156861401,Promoter
10,1054400,1058601,Promoter
19,33286800,33287001,Promoter
17,4639000,4639201,Promoter
9,93456400,93457001,Promoter
19,56113000,56113201,Promoter
17,78124600,78134201,Promoter
11,1849000,1849201,Promoter
17,48624401,48626801,Promoter
16,89408200,89408401,Promoter
19,45597800,45598601,Promoter
13,48579000,48579601,Promoter
15,49153600,49158001,Promoter
4,1245800,1250601,Promoter
X,2927401,2930201,Promoter
16,75646200,75652401,Promoter
1,225996400,226001201,Promoter
2,46615400,46618801,Promoter
16,15649400,15651801,Promoter
10,47383000,47385400,Promoter
11,7251401,7253001,Promoter
12,99151601,99155401,Promoter
1,16026400,16027401,Promoter
18,76686400,76686601,Promoter
10,80462800,80466601,Promoter
4,134196801,134202401,Promoter
1,27250800,27251001,Promoter
14,94077600,94082800,Promoter
3,181708000,181723801,Promoter
13,77324200,77331001,Promoter
8,120808200,120813001,Promoter
2,46296200,46304001,Promoter
22,20013800,20014601,Promoter
1,111618800,111623001,Promoter
19,40420000,40420201,Promoter
2,224574200,224574401,Promoter
2,162071400,162074801,Promoter
1,212297600,212297801,Promoter
2,182423601,182427600,Promoter
1,12063200,12064801,Promoter
7,76510000,76511001,Promoter
2,241863600,241863801,Promoter
21,33028600,33028801,Promoter
8,38174400,38179401,Promoter
17,30969800,30973601,Promoter
14,104085200,104086401,Promoter
6,15332000,15332201,Promoter
14,50823600,50824601,Promoter
2,219058200,219061401,Promoter
19,23757001,23759401,Promoter
17,11995800,11998601,Promoter
5,180591200,180591601,Promoter
12,120977001,120981801,Promoter
X,49071601,49074801,Promoter
11,64842000,64845601,Promoter
7,155509600,155510401,Promoter
17,45405200,45406601,Promoter
9,107465200,107466601,Promoter
1,202860000,202860201,Promoter
17,82126400,82128001,Promoter
20,3887800,3892801,Promoter
16,2751000,2755801,Promoter
3,49091800,49095601,Promoter
1,161529200,161534001,Promoter
17,8079200,8080601,Promoter
1,90850201,90852400,Promoter
7,142636800,142638400,Promoter
1,94930000,94930201,Promoter
15,74954200,74959601,Promoter
2,54329800,54331601,Promoter
9,127244201,127246200,Promoter
19,14505200,14506801,Promoter
X,23075401,23075801,Promoter
6,11536400,11540401,Promoter
5,138663200,138663401,Promoter
9,87555400,87555801,Promoter
6,157379200,157384001,Promoter
17,81386000,81405401,Promoter
17,54966400,54970401,Promoter
2,218009200,218011201,Promoter
4,122921200,122925201,Promoter
17,50202800,50204001,Promoter
22,31247800,31251201,Promoter
5,39185800,39186601,Promoter
6,44266600,44266801,Promoter
4,80182600,80182801,Promoter
5,150165200,150165401,Promoter
2,45609800,45612001,Promoter
6,137043200,137045401,Promoter
3,120284401,120285800,Promoter
10,34974000,34974601,Promoter
17,29042200,29043601,Promoter
11,46389400,46390001,Promoter
18,58580600,58580801,Promoter
20,25861200,25862201,Promoter
8,13510401,13515801,Promoter
15,65131800,65135000,Promoter
1,2279200,2279401,Promoter
11,60377800,60381801,Promoter
1,109655200,109657601,Promoter
5,132829201,132831401,Promoter
8,22603600,22606401,Promoter
2,218064400,218064601,Promoter
16,25012000,25016601,Promoter
1,28551800,28554601,Promoter
9,132239000,132239201,Promoter
17,42027000,42027401,Promoter
7,157275000,157275201,Promoter
8,131925200,131925601,Promoter
19,3433400,3436200,Promoter
1,51874600,51880400,Promoter
16,30955401,30955801,Promoter
7,20120200,20125601,Promoter
9,132077800,132080401,Promoter
17,14296801,14298401,Promoter
5,150498000,150498201,Promoter
3,46163000,46163601,Promoter
19,39154400,39154601,Promoter
2,2331400,2331601,Promoter
17,81889800,81893200,Promoter
1,149746800,149748401,Promoter
15,63500600,63507601,Promoter
7,101179000,101179801,Promoter
14,24309600,24312601,Promoter
17,76029800,76030001,Promoter
16,50664800,50666001,Promoter
19,3608800,3609001,Promoter
X,46572600,46577601,Promoter
2,219689000,219689601,Promoter
3,58574800,58577401,Promoter
3,11060600,11061401,Promoter
8,26303400,26305601,Promoter
5,74765400,74768801,Promoter
7,80524801,80525200,Promoter
2,218806400,218806601,Promoter
1,30847200,30847601,Promoter
6,131250000,131253000,Promoter
8,26864000,26867601,Promoter
17,49748200,49748401,Promoter
21,43419201,43419801,Promoter
3,71786000,71786201,Promoter
18,79949400,79954001,Promoter
4,190065600,190079801,Promoter
10,50066800,50070001,Promoter
7,65872200,65872401,Promoter
11,124953000,124955401,Promoter
1,235971200,235972801,Promoter
21,44926200,44934001,Promoter
4,140372400,140375201,Promoter
3,156292200,156292400,Promoter
5,1882200,1887801,Promoter
15,72115800,72119601,Promoter
7,107560600,107561401,Promoter
12,56115000,56120001,Promoter
19,570000,576401,Promoter
2,170408800,170409001,Promoter
19,13051400,13052201,Promoter
11,62423800,62424401,Promoter
7,141700600,141703201,Promoter
1,23601000,23601201,Promoter
14,91402200,91403601,Promoter
14,64986200,64988401,Promoter
15,51970000,51973001,Promoter
8,27342200,27342401,Promoter
15,74373600,74375401,Promoter
9,97011200,97014601,Promoter
9,137156601,137157401,Promoter
16,16007600,16008001,Promoter
11,7575600,7579201,Promoter
6,109689600,109693801,Promoter
11,60855400,60856001,Promoter
5,77085600,77089401,Promoter
20,57681000,57681801,Promoter
18,79520000,79520401,Promoter
5,8456600,8459200,Promoter
22,38681000,38683600,Promoter
21,14026601,14029401,Promoter
10,44911800,44914001,Promoter
20,44809800,44811001,Promoter
18,35288600,35291801,Promoter
4,119026400,119030001,Promoter
5,6704600,6705001,Promoter
13,23887400,23890401,Promoter
7,37915200,37917800,Promoter
12,56332600,56335401,Promoter
11,118172200,118172400,Promoter
16,1970400,1973601,Promoter
16,57533600,57534001,Promoter
15,85318200,85318401,Promoter
2,178522600,178524801,Promoter
2,218007600,218007801,Promoter
19,9826000,9829201,Promoter
3,45912001,45916201,Promoter
12,39614800,39622201,Promoter
16,11347800,11348001,Promoter
22,30305400,30307401,Promoter
19,4278400,4282000,Promoter
12,51084600,51084801,Promoter
X,24478200,24478401,Promoter
8,42265800,42266401,Promoter
21,16304600,16310401,Promoter
10,101834200,101835001,Promoter
9,128202400,128205201,Promoter
8,42155400,42155801,Promoter
17,40287200,40289601,Promoter
20,1484800,1485001,Promoter
17,2122600,2123401,Promoter
4,145547000,145547600,Promoter
3,167728400,167728601,Promoter
7,94653000,94659201,Promoter
15,65529800,65533001,Promoter
18,22346000,22346201,Promoter
4,165757200,165757801,Promoter
19,15329600,15334601,Promoter
7,2842200,2845201,Promoter
18,62330000,62330201,Promoter
1,157042800,157047201,Promoter
4,76145800,76149801,Promoter
11,43311400,43314001,Promoter
1,151837000,151841001,Promoter
16,89343400,89344001,Promoter
10,92845800,92846201,Promoter
9,133142000,133142201,Promoter
9,85740000,85744801,Promoter
1,53415600,53416401,Promoter
12,64750000,64750201,Promoter
15,92911800,92912001,Promoter
7,955800,956001,Promoter
12,57109200,57113201,Promoter
15,39937000,39937201,Promoter
20,36946600,36953001,Promoter
22,37559200,37564601,Promoter
6,7540400,7549001,Promoter
6,89078800,89084201,Promoter
19,8505200,8507200,Promoter
12,54191800,54192001,Promoter
22,46540200,46541001,Promoter
5,149931400,149933001,Promoter
10,43400800,43401001,Promoter
10,15717601,15720201,Promoter
10,14653400,14653601,Promoter
18,13610800,13613201,Promoter
21,8757001,8760200,Promoter
12,638200,638601,Promoter
7,150676800,150677201,Promoter
5,127290000,127294001,Promoter
1,235835200,235835801,Promoter
2,48528800,48532001,Promoter
2,172928200,172928801,Promoter
1,46201601,46202401,Promoter
11,128628000,128628201,Promoter
21,29656800,29657001,Promoter
10,132941800,132943401,Promoter
4,186068000,186070001,Promoter
5,132473200,132473601,Promoter
17,1178200,1180801,Promoter
3,64265000,64268601,Promoter
15,80151800,80154201,Promoter
1,238483601,238486401,Promoter
15,98799200,98801401,Promoter
7,43762200,43762601,Promoter
5,36686000,36686201,Promoter
22,26170800,26171001,Promoter
5,179803400,179808800,Promoter
14,102927400,102930801,Promoter
1,50423000,50425401,Promoter
17,4737000,4741000,Promoter
11,107456000,107458800,Promoter
19,19384400,19390001,Promoter
1,236280200,236283001,Promoter
7,5680400,5680601,Promoter
8,95024000,95027001,Promoter
2,24358200,24361601,Promoter
1,109711600,109713001,Promoter
4,98663000,98663201,Promoter
19,54304400,54304601,Promoter
20,41166401,41170600,Promoter
6,125193800,125194001,Promoter
X,102141601,102142600,Promoter
1,40707800,40708001,Promoter
10,97496600,97502001,Promoter
12,59595000,59598201,Promoter
11,67055400,67058201,Promoter
1,204870600,204871201,Promoter
7,812600,814001,Promoter
5,14652200,14653400,Promoter
12,6821000,6822601,Promoter
2,55119000,55119201,Promoter
12,89428400,89428601,Promoter
1,168407201,168407400,Promoter
13,20159601,20162001,Promoter
3,71396800,71397201,Promoter
3,156680600,156681601,Promoter
8,124997400,125004201,Promoter
4,6245400,6246200,Promoter
3,149372600,149372801,Promoter
9,128243400,128245401,Promoter
4,86592201,86597601,Promoter
22,38792800,38794801,Promoter
19,10581200,10581401,Promoter
11,118618400,118623601,Promoter
11,65867400,65868401,Promoter
1,18923800,18924601,Promoter
6,45429600,45429800,Promoter
11,117094600,117099801,Promoter
6,143059200,143062201,Promoter
15,85233200,85235601,Promoter
17,7044600,7045601,Promoter
11,10449800,10452001,Promoter
15,64379400,64382400,Promoter
1,27885400,27885601,Promoter
6,47306800,47310401,Promoter
4,55313200,55313801,Promoter
9,113614600,113614801,Promoter
19,13033400,13033601,Promoter
9,113150400,113153401,Promoter
8,132758200,132761201,Promoter
3,44583401,44583801,Promoter
3,30658600,30659001,Promoter
3,69764000,69765201,Promoter
3,128794800,128795201,Promoter
11,16611200,16611801,Promoter
X,75521400,75525001,Promoter
20,1898800,1899001,Promoter
8,33470800,33474000,Promoter
10,17808800,17812201,Promoter
8,20275000,20275401,Promoter
17,64384600,64384801,Promoter
17,60133800,60136201,Promoter
9,129319800,129320001,Promoter
11,46293200,46293601,Promoter
3,136895200,136895401,Promoter
1,228463400,228465601,Promoter
5,163415401,163416800,Promoter
5,1380200,1380601,Promoter
18,58670200,58673601,Promoter
2,131723801,131724400,Promoter
5,177356800,177360001,Promoter
5,159262000,159265001,Promoter
12,62256600,62257001,Promoter
3,143970200,143978401,Promoter
20,37344600,37348801,Promoter
3,47577400,47579801,Promoter
17,72614200,72614401,Promoter
19,6529400,6534601,Promoter
9,98811600,98811801,Promoter
11,13667400,13671001,Promoter
4,80264001,80264401,Promoter
10,121926200,121929801,Promoter
17,81635400,81638000,Promoter
3,141454201,141454601,Promoter
20,40685200,40691401,Promoter
1,230004400,230004801,Promoter
10,23438200,23442601,Promoter
15,89041200,89041401,Promoter
7,75965600,75968001,Promoter
3,57803600,57803801,Promoter
15,57680600,57680801,Promoter
17,45408200,45411401,Promoter
4,106314000,106318601,Promoter
22,50543800,50545401,Promoter
17,46265800,46268401,Promoter
6,41705600,41706601,Promoter
16,53703001,53705601,Promoter
4,20699400,20701801,Promoter
4,80335200,80336801,Promoter
14,106494001,106494801,Promoter
1,205528800,205529601,Promoter
20,49982000,49986401,Promoter
4,157075600,157077400,Promoter
4,88737400,88737801,Promoter
15,40828401,40829401,Promoter
1,226662600,226663601,Promoter
9,18472400,18472801,Promoter
19,51901001,51908001,Promoter
12,9615600,9616001,Promoter
16,3133200,3136401,Promoter
22,41587800,41591001,Promoter
22,36563600,36563801,Promoter
6,98946200,98948800,Promoter
9,64637801,64638601,Promoter
2,32355601,32359401,Promoter
19,55216400,55217601,Promoter
X,103765000,103767401,Promoter
3,27719201,27723801,Promoter
2,219227800,219231401,Promoter
1,35554400,35559801,Promoter
